,date,country,continent,value
58,2020-03-19,Afghanistan,Asia,25
59,2020-03-20,Afghanistan,Asia,29
60,2020-03-21,Afghanistan,Asia,30
61,2020-03-22,Afghanistan,Asia,34
62,2020-03-23,Afghanistan,Asia,41
63,2020-03-24,Afghanistan,Asia,43
64,2020-03-25,Afghanistan,Asia,76
65,2020-03-26,Afghanistan,Asia,80
66,2020-03-27,Afghanistan,Asia,91
67,2020-03-28,Afghanistan,Asia,107
68,2020-03-29,Afghanistan,Asia,118
69,2020-03-30,Afghanistan,Asia,146
70,2020-03-31,Afghanistan,Asia,175
71,2020-04-01,Afghanistan,Asia,197
72,2020-04-02,Afghanistan,Asia,240
73,2020-04-03,Afghanistan,Asia,275
74,2020-04-04,Afghanistan,Asia,300
75,2020-04-05,Afghanistan,Asia,338
76,2020-04-06,Afghanistan,Asia,368
77,2020-04-07,Afghanistan,Asia,424
78,2020-04-08,Afghanistan,Asia,445
79,2020-04-09,Afghanistan,Asia,485
80,2020-04-10,Afghanistan,Asia,532
81,2020-04-11,Afghanistan,Asia,556
82,2020-04-12,Afghanistan,Asia,608
83,2020-04-13,Afghanistan,Asia,666
84,2020-04-14,Afghanistan,Asia,715
85,2020-04-15,Afghanistan,Asia,785
86,2020-04-16,Afghanistan,Asia,841
87,2020-04-17,Afghanistan,Asia,907
88,2020-04-18,Afghanistan,Asia,934
89,2020-04-19,Afghanistan,Asia,997
90,2020-04-20,Afghanistan,Asia,1027
91,2020-04-21,Afghanistan,Asia,1093
92,2020-04-22,Afghanistan,Asia,1177
93,2020-04-23,Afghanistan,Asia,1236
94,2020-04-24,Afghanistan,Asia,1331
95,2020-04-25,Afghanistan,Asia,1464
96,2020-04-26,Afghanistan,Asia,1532
97,2020-04-27,Afghanistan,Asia,1704
98,2020-04-28,Afghanistan,Asia,1830
99,2020-04-29,Afghanistan,Asia,1940
100,2020-04-30,Afghanistan,Asia,2127
101,2020-05-01,Afghanistan,Asia,2291
102,2020-05-02,Afghanistan,Asia,2470
103,2020-05-03,Afghanistan,Asia,2705
104,2020-05-04,Afghanistan,Asia,2895
105,2020-05-05,Afghanistan,Asia,3225
106,2020-05-06,Afghanistan,Asia,3393
107,2020-05-07,Afghanistan,Asia,3564
108,2020-05-08,Afghanistan,Asia,3781
109,2020-05-09,Afghanistan,Asia,4042
110,2020-05-10,Afghanistan,Asia,4403
111,2020-05-11,Afghanistan,Asia,4687
112,2020-05-12,Afghanistan,Asia,4968
113,2020-05-13,Afghanistan,Asia,5227
114,2020-05-14,Afghanistan,Asia,5640
115,2020-05-15,Afghanistan,Asia,6054
116,2020-05-16,Afghanistan,Asia,6403
117,2020-05-17,Afghanistan,Asia,6665
118,2020-05-18,Afghanistan,Asia,7073
119,2020-05-19,Afghanistan,Asia,7654
120,2020-05-20,Afghanistan,Asia,8146
121,2020-05-21,Afghanistan,Asia,8677
122,2020-05-22,Afghanistan,Asia,9219
123,2020-05-23,Afghanistan,Asia,10001
124,2020-05-24,Afghanistan,Asia,10585
125,2020-05-25,Afghanistan,Asia,11176
126,2020-05-26,Afghanistan,Asia,11834
127,2020-05-27,Afghanistan,Asia,12459
128,2020-05-28,Afghanistan,Asia,13039
129,2020-05-29,Afghanistan,Asia,13662
130,2020-05-30,Afghanistan,Asia,14528
131,2020-05-31,Afghanistan,Asia,15208
132,2020-06-01,Afghanistan,Asia,15753
133,2020-06-02,Afghanistan,Asia,16512
134,2020-06-03,Afghanistan,Asia,17270
135,2020-06-04,Afghanistan,Asia,18057
136,2020-06-05,Afghanistan,Asia,18972
137,2020-06-06,Afghanistan,Asia,19554
138,2020-06-07,Afghanistan,Asia,20345
139,2020-06-08,Afghanistan,Asia,20920
140,2020-06-09,Afghanistan,Asia,21462
141,2020-06-10,Afghanistan,Asia,22146
142,2020-06-11,Afghanistan,Asia,22894
143,2020-06-12,Afghanistan,Asia,23550
144,2020-06-13,Afghanistan,Asia,24106
145,2020-06-14,Afghanistan,Asia,24770
146,2020-06-15,Afghanistan,Asia,25531
147,2020-06-16,Afghanistan,Asia,26314
148,2020-06-17,Afghanistan,Asia,26878
149,2020-06-18,Afghanistan,Asia,27536
150,2020-06-19,Afghanistan,Asia,27882
151,2020-06-20,Afghanistan,Asia,28428
152,2020-06-21,Afghanistan,Asia,28837
153,2020-06-22,Afghanistan,Asia,29147
154,2020-06-23,Afghanistan,Asia,29471
155,2020-06-24,Afghanistan,Asia,29705
156,2020-06-25,Afghanistan,Asia,30165
157,2020-06-26,Afghanistan,Asia,30441
158,2020-06-27,Afghanistan,Asia,30606
159,2020-06-28,Afghanistan,Asia,30957
160,2020-06-29,Afghanistan,Asia,31228
161,2020-06-30,Afghanistan,Asia,31507
162,2020-07-01,Afghanistan,Asia,31826
163,2020-07-02,Afghanistan,Asia,32012
164,2020-07-03,Afghanistan,Asia,32314
165,2020-07-04,Afghanistan,Asia,32662
166,2020-07-05,Afghanistan,Asia,32941
167,2020-07-06,Afghanistan,Asia,33180
168,2020-07-07,Afghanistan,Asia,33374
169,2020-07-08,Afghanistan,Asia,33584
170,2020-07-09,Afghanistan,Asia,33898
171,2020-07-10,Afghanistan,Asia,34184
172,2020-07-11,Afghanistan,Asia,34356
173,2020-07-12,Afghanistan,Asia,34441
174,2020-07-13,Afghanistan,Asia,34595
175,2020-07-14,Afghanistan,Asia,34730
176,2020-07-15,Afghanistan,Asia,34984
177,2020-07-16,Afghanistan,Asia,35060
178,2020-07-17,Afghanistan,Asia,35219
179,2020-07-18,Afghanistan,Asia,35279
180,2020-07-19,Afghanistan,Asia,35453
181,2020-07-20,Afghanistan,Asia,35493
182,2020-07-21,Afghanistan,Asia,35605
183,2020-07-22,Afghanistan,Asia,35717
184,2020-07-23,Afghanistan,Asia,35918
185,2020-07-24,Afghanistan,Asia,35978
186,2020-07-25,Afghanistan,Asia,36026
187,2020-07-26,Afghanistan,Asia,36147
188,2020-07-27,Afghanistan,Asia,36253
189,2020-07-28,Afghanistan,Asia,36358
190,2020-07-29,Afghanistan,Asia,36463
191,2020-07-30,Afghanistan,Asia,36532
192,2020-07-31,Afghanistan,Asia,36665
193,2020-08-01,Afghanistan,Asia,36700
194,2020-08-02,Afghanistan,Asia,36701
195,2020-08-03,Afghanistan,Asia,36737
196,2020-08-04,Afghanistan,Asia,36773
197,2020-08-05,Afghanistan,Asia,36820
198,2020-08-06,Afghanistan,Asia,36928
199,2020-08-07,Afghanistan,Asia,37006
200,2020-08-08,Afghanistan,Asia,37046
201,2020-08-09,Afghanistan,Asia,37083
202,2020-08-10,Afghanistan,Asia,37153
203,2020-08-11,Afghanistan,Asia,37260
204,2020-08-12,Afghanistan,Asia,37336
205,2020-08-13,Afghanistan,Asia,37422
206,2020-08-14,Afghanistan,Asia,37497
207,2020-08-15,Afghanistan,Asia,37542
208,2020-08-16,Afghanistan,Asia,37590
209,2020-08-17,Afghanistan,Asia,37667
210,2020-08-18,Afghanistan,Asia,37710
211,2020-08-19,Afghanistan,Asia,37750
212,2020-08-20,Afghanistan,Asia,37852
213,2020-08-21,Afghanistan,Asia,37885
214,2020-08-22,Afghanistan,Asia,37944
215,2020-08-23,Afghanistan,Asia,37990
216,2020-08-24,Afghanistan,Asia,38045
217,2020-08-25,Afghanistan,Asia,38061
218,2020-08-26,Afghanistan,Asia,38103
219,2020-08-27,Afghanistan,Asia,38119
220,2020-08-28,Afghanistan,Asia,38130
221,2020-08-29,Afghanistan,Asia,38133
222,2020-08-30,Afghanistan,Asia,38155
223,2020-08-31,Afghanistan,Asia,38159
224,2020-09-01,Afghanistan,Asia,38193
225,2020-09-02,Afghanistan,Asia,38243
226,2020-09-03,Afghanistan,Asia,38288
227,2020-09-04,Afghanistan,Asia,38304
228,2020-09-05,Afghanistan,Asia,38324
229,2020-09-06,Afghanistan,Asia,38398
230,2020-09-07,Afghanistan,Asia,38494
231,2020-09-08,Afghanistan,Asia,38520
232,2020-09-09,Afghanistan,Asia,38544
233,2020-09-10,Afghanistan,Asia,38572
234,2020-09-11,Afghanistan,Asia,38606
235,2020-09-12,Afghanistan,Asia,38641
236,2020-09-13,Afghanistan,Asia,38716
237,2020-09-14,Afghanistan,Asia,38772
238,2020-09-15,Afghanistan,Asia,38815
239,2020-09-16,Afghanistan,Asia,38855
240,2020-09-17,Afghanistan,Asia,38872
241,2020-09-18,Afghanistan,Asia,38897
242,2020-09-19,Afghanistan,Asia,38919
243,2020-09-20,Afghanistan,Asia,39044
244,2020-09-21,Afghanistan,Asia,39074
245,2020-09-22,Afghanistan,Asia,39096
246,2020-09-23,Afghanistan,Asia,39145
247,2020-09-24,Afghanistan,Asia,39170
248,2020-09-25,Afghanistan,Asia,39186
249,2020-09-26,Afghanistan,Asia,39192
250,2020-09-27,Afghanistan,Asia,39227
251,2020-09-28,Afghanistan,Asia,39239
252,2020-09-29,Afghanistan,Asia,39254
253,2020-09-30,Afghanistan,Asia,39268
254,2020-10-01,Afghanistan,Asia,39285
255,2020-10-02,Afghanistan,Asia,39290
256,2020-10-03,Afghanistan,Asia,39297
257,2020-10-04,Afghanistan,Asia,39341
258,2020-10-05,Afghanistan,Asia,39422
259,2020-10-06,Afghanistan,Asia,39486
260,2020-10-07,Afghanistan,Asia,39548
261,2020-10-08,Afghanistan,Asia,39616
262,2020-10-09,Afghanistan,Asia,39693
263,2020-10-10,Afghanistan,Asia,39703
264,2020-10-11,Afghanistan,Asia,39799
265,2020-10-12,Afghanistan,Asia,39870
266,2020-10-13,Afghanistan,Asia,39928
267,2020-10-14,Afghanistan,Asia,39994
268,2020-10-15,Afghanistan,Asia,40026
269,2020-10-16,Afghanistan,Asia,40088
270,2020-10-17,Afghanistan,Asia,40141
271,2020-10-18,Afghanistan,Asia,40200
272,2020-10-19,Afghanistan,Asia,40287
273,2020-10-20,Afghanistan,Asia,40369
274,2020-10-21,Afghanistan,Asia,40510
275,2020-10-22,Afghanistan,Asia,40626
276,2020-10-23,Afghanistan,Asia,40687
277,2020-10-24,Afghanistan,Asia,40768
278,2020-10-25,Afghanistan,Asia,40833
279,2020-10-26,Afghanistan,Asia,40937
280,2020-10-27,Afghanistan,Asia,41032
281,2020-10-28,Afghanistan,Asia,41145
282,2020-10-29,Afghanistan,Asia,41268
283,2020-10-30,Afghanistan,Asia,41334
284,2020-10-31,Afghanistan,Asia,41425
285,2020-11-01,Afghanistan,Asia,41501
286,2020-11-02,Afghanistan,Asia,41633
287,2020-11-03,Afghanistan,Asia,41728
288,2020-11-04,Afghanistan,Asia,41814
289,2020-11-05,Afghanistan,Asia,41935
290,2020-11-06,Afghanistan,Asia,41975
291,2020-11-07,Afghanistan,Asia,42033
292,2020-11-08,Afghanistan,Asia,42159
293,2020-11-09,Afghanistan,Asia,42297
294,2020-11-10,Afghanistan,Asia,42463
295,2020-11-11,Afghanistan,Asia,42609
296,2020-11-12,Afghanistan,Asia,42795
297,2020-11-13,Afghanistan,Asia,42969
298,2020-11-14,Afghanistan,Asia,43035
299,2020-11-15,Afghanistan,Asia,43240
300,2020-11-16,Afghanistan,Asia,43468
301,2020-11-17,Afghanistan,Asia,43681
302,2020-11-18,Afghanistan,Asia,43924
303,2020-11-19,Afghanistan,Asia,44177
304,2020-11-20,Afghanistan,Asia,44363
305,2020-11-21,Afghanistan,Asia,44503
306,2020-11-22,Afghanistan,Asia,44706
307,2020-11-23,Afghanistan,Asia,44988
308,2020-11-24,Afghanistan,Asia,45174
309,2020-11-25,Afghanistan,Asia,45384
310,2020-11-26,Afghanistan,Asia,45600
311,2020-11-27,Afghanistan,Asia,45723
312,2020-11-28,Afghanistan,Asia,45844
313,2020-11-29,Afghanistan,Asia,46116
314,2020-11-30,Afghanistan,Asia,46274
315,2020-12-01,Afghanistan,Asia,46516
316,2020-12-02,Afghanistan,Asia,46718
317,2020-12-03,Afghanistan,Asia,46837
318,2020-12-04,Afghanistan,Asia,46837
319,2020-12-05,Afghanistan,Asia,47072
320,2020-12-06,Afghanistan,Asia,47306
321,2020-12-07,Afghanistan,Asia,47516
322,2020-12-08,Afghanistan,Asia,47716
323,2020-12-09,Afghanistan,Asia,47851
324,2020-12-10,Afghanistan,Asia,48053
325,2020-12-11,Afghanistan,Asia,48116
326,2020-12-12,Afghanistan,Asia,48229
327,2020-12-13,Afghanistan,Asia,48527
328,2020-12-14,Afghanistan,Asia,48718
329,2020-12-15,Afghanistan,Asia,48952
330,2020-12-16,Afghanistan,Asia,49161
331,2020-12-17,Afghanistan,Asia,49378
332,2020-12-18,Afghanistan,Asia,49621
333,2020-12-19,Afghanistan,Asia,49681
334,2020-12-20,Afghanistan,Asia,49817
335,2020-12-21,Afghanistan,Asia,50013
336,2020-12-22,Afghanistan,Asia,50190
337,2020-12-23,Afghanistan,Asia,50433
338,2020-12-24,Afghanistan,Asia,50655
339,2020-12-25,Afghanistan,Asia,50810
340,2020-12-26,Afghanistan,Asia,50886
341,2020-12-27,Afghanistan,Asia,51039
342,2020-12-28,Afghanistan,Asia,51280
343,2020-12-29,Afghanistan,Asia,51350
344,2020-12-30,Afghanistan,Asia,51405
345,2020-12-31,Afghanistan,Asia,51526
346,2021-01-01,Afghanistan,Asia,51526
347,2021-01-02,Afghanistan,Asia,51526
348,2021-01-03,Afghanistan,Asia,51526
349,2021-01-04,Afghanistan,Asia,53011
350,2021-01-05,Afghanistan,Asia,53105
351,2021-01-06,Afghanistan,Asia,53105
352,2021-01-07,Afghanistan,Asia,53207
353,2021-01-08,Afghanistan,Asia,53332
354,2021-01-09,Afghanistan,Asia,53400
355,2021-01-10,Afghanistan,Asia,53489
356,2021-01-11,Afghanistan,Asia,53538
357,2021-01-12,Afghanistan,Asia,53584
358,2021-01-13,Afghanistan,Asia,53584
359,2021-01-14,Afghanistan,Asia,53775
360,2021-01-15,Afghanistan,Asia,53831
361,2021-01-16,Afghanistan,Asia,53938
362,2021-01-17,Afghanistan,Asia,53984
363,2021-01-18,Afghanistan,Asia,54062
364,2021-01-19,Afghanistan,Asia,54141
365,2020-01-22,Albania,Europe,0
366,2020-01-23,Albania,Europe,0
367,2020-01-24,Albania,Europe,0
368,2020-01-25,Albania,Europe,0
369,2020-01-26,Albania,Europe,0
370,2020-01-27,Albania,Europe,0
371,2020-01-28,Albania,Europe,0
372,2020-01-29,Albania,Europe,0
373,2020-01-30,Albania,Europe,0
374,2020-01-31,Albania,Europe,0
375,2020-02-01,Albania,Europe,0
376,2020-02-02,Albania,Europe,0
377,2020-02-03,Albania,Europe,0
378,2020-02-04,Albania,Europe,0
379,2020-02-05,Albania,Europe,0
380,2020-02-06,Albania,Europe,0
381,2020-02-07,Albania,Europe,0
382,2020-02-08,Albania,Europe,0
383,2020-02-09,Albania,Europe,0
384,2020-02-10,Albania,Europe,0
385,2020-02-11,Albania,Europe,0
386,2020-02-12,Albania,Europe,0
387,2020-02-13,Albania,Europe,0
388,2020-02-14,Albania,Europe,0
389,2020-02-15,Albania,Europe,0
390,2020-02-16,Albania,Europe,0
391,2020-02-17,Albania,Europe,0
392,2020-02-18,Albania,Europe,0
393,2020-02-19,Albania,Europe,0
394,2020-02-20,Albania,Europe,0
395,2020-02-21,Albania,Europe,0
396,2020-02-22,Albania,Europe,0
397,2020-02-23,Albania,Europe,0
398,2020-02-24,Albania,Europe,0
399,2020-02-25,Albania,Europe,0
400,2020-02-26,Albania,Europe,0
401,2020-02-27,Albania,Europe,0
402,2020-02-28,Albania,Europe,0
403,2020-02-29,Albania,Europe,0
404,2020-03-01,Albania,Europe,0
405,2020-03-02,Albania,Europe,0
406,2020-03-03,Albania,Europe,0
407,2020-03-04,Albania,Europe,0
408,2020-03-05,Albania,Europe,0
409,2020-03-06,Albania,Europe,0
410,2020-03-07,Albania,Europe,0
411,2020-03-08,Albania,Europe,0
412,2020-03-09,Albania,Europe,2
413,2020-03-10,Albania,Europe,10
414,2020-03-11,Albania,Europe,12
415,2020-03-12,Albania,Europe,23
416,2020-03-13,Albania,Europe,33
417,2020-03-14,Albania,Europe,38
418,2020-03-15,Albania,Europe,42
419,2020-03-16,Albania,Europe,51
420,2020-03-17,Albania,Europe,55
421,2020-03-18,Albania,Europe,59
422,2020-03-19,Albania,Europe,64
423,2020-03-20,Albania,Europe,70
424,2020-03-21,Albania,Europe,76
425,2020-03-22,Albania,Europe,89
426,2020-03-23,Albania,Europe,104
427,2020-03-24,Albania,Europe,123
428,2020-03-25,Albania,Europe,146
429,2020-03-26,Albania,Europe,174
430,2020-03-27,Albania,Europe,186
431,2020-03-28,Albania,Europe,197
432,2020-03-29,Albania,Europe,212
433,2020-03-30,Albania,Europe,223
434,2020-03-31,Albania,Europe,243
435,2020-04-01,Albania,Europe,259
436,2020-04-02,Albania,Europe,277
437,2020-04-03,Albania,Europe,304
438,2020-04-04,Albania,Europe,333
439,2020-04-05,Albania,Europe,361
440,2020-04-06,Albania,Europe,377
441,2020-04-07,Albania,Europe,383
442,2020-04-08,Albania,Europe,400
443,2020-04-09,Albania,Europe,409
444,2020-04-10,Albania,Europe,416
445,2020-04-11,Albania,Europe,433
446,2020-04-12,Albania,Europe,446
447,2020-04-13,Albania,Europe,467
448,2020-04-14,Albania,Europe,475
449,2020-04-15,Albania,Europe,494
450,2020-04-16,Albania,Europe,518
451,2020-04-17,Albania,Europe,539
452,2020-04-18,Albania,Europe,548
453,2020-04-19,Albania,Europe,562
454,2020-04-20,Albania,Europe,584
455,2020-04-21,Albania,Europe,609
456,2020-04-22,Albania,Europe,634
457,2020-04-23,Albania,Europe,663
458,2020-04-24,Albania,Europe,678
459,2020-04-25,Albania,Europe,712
460,2020-04-26,Albania,Europe,726
461,2020-04-27,Albania,Europe,736
462,2020-04-28,Albania,Europe,750
463,2020-04-29,Albania,Europe,766
464,2020-04-30,Albania,Europe,773
465,2020-05-01,Albania,Europe,782
466,2020-05-02,Albania,Europe,789
467,2020-05-03,Albania,Europe,795
468,2020-05-04,Albania,Europe,803
469,2020-05-05,Albania,Europe,820
470,2020-05-06,Albania,Europe,832
471,2020-05-07,Albania,Europe,842
472,2020-05-08,Albania,Europe,850
473,2020-05-09,Albania,Europe,856
474,2020-05-10,Albania,Europe,868
475,2020-05-11,Albania,Europe,872
476,2020-05-12,Albania,Europe,876
477,2020-05-13,Albania,Europe,880
478,2020-05-14,Albania,Europe,898
479,2020-05-15,Albania,Europe,916
480,2020-05-16,Albania,Europe,933
481,2020-05-17,Albania,Europe,946
482,2020-05-18,Albania,Europe,948
483,2020-05-19,Albania,Europe,949
484,2020-05-20,Albania,Europe,964
485,2020-05-21,Albania,Europe,969
486,2020-05-22,Albania,Europe,981
487,2020-05-23,Albania,Europe,989
488,2020-05-24,Albania,Europe,998
489,2020-05-25,Albania,Europe,1004
490,2020-05-26,Albania,Europe,1029
491,2020-05-27,Albania,Europe,1050
492,2020-05-28,Albania,Europe,1076
493,2020-05-29,Albania,Europe,1099
494,2020-05-30,Albania,Europe,1122
495,2020-05-31,Albania,Europe,1137
496,2020-06-01,Albania,Europe,1143
497,2020-06-02,Albania,Europe,1164
498,2020-06-03,Albania,Europe,1184
499,2020-06-04,Albania,Europe,1197
500,2020-06-05,Albania,Europe,1212
501,2020-06-06,Albania,Europe,1232
502,2020-06-07,Albania,Europe,1246
503,2020-06-08,Albania,Europe,1263
504,2020-06-09,Albania,Europe,1299
505,2020-06-10,Albania,Europe,1341
506,2020-06-11,Albania,Europe,1385
507,2020-06-12,Albania,Europe,1416
508,2020-06-13,Albania,Europe,1464
509,2020-06-14,Albania,Europe,1521
510,2020-06-15,Albania,Europe,1590
511,2020-06-16,Albania,Europe,1672
512,2020-06-17,Albania,Europe,1722
513,2020-06-18,Albania,Europe,1788
514,2020-06-19,Albania,Europe,1838
515,2020-06-20,Albania,Europe,1891
516,2020-06-21,Albania,Europe,1962
517,2020-06-22,Albania,Europe,1995
518,2020-06-23,Albania,Europe,2047
519,2020-06-24,Albania,Europe,2114
520,2020-06-25,Albania,Europe,2192
521,2020-06-26,Albania,Europe,2269
522,2020-06-27,Albania,Europe,2330
523,2020-06-28,Albania,Europe,2402
524,2020-06-29,Albania,Europe,2466
525,2020-06-30,Albania,Europe,2535
526,2020-07-01,Albania,Europe,2580
527,2020-07-02,Albania,Europe,2662
528,2020-07-03,Albania,Europe,2752
529,2020-07-04,Albania,Europe,2819
530,2020-07-05,Albania,Europe,2893
531,2020-07-06,Albania,Europe,2964
532,2020-07-07,Albania,Europe,3038
533,2020-07-08,Albania,Europe,3106
534,2020-07-09,Albania,Europe,3188
535,2020-07-10,Albania,Europe,3278
536,2020-07-11,Albania,Europe,3371
537,2020-07-12,Albania,Europe,3454
538,2020-07-13,Albania,Europe,3571
539,2020-07-14,Albania,Europe,3667
540,2020-07-15,Albania,Europe,3752
541,2020-07-16,Albania,Europe,3851
542,2020-07-17,Albania,Europe,3906
543,2020-07-18,Albania,Europe,4008
544,2020-07-19,Albania,Europe,4090
545,2020-07-20,Albania,Europe,4171
546,2020-07-21,Albania,Europe,4290
547,2020-07-22,Albania,Europe,4358
548,2020-07-23,Albania,Europe,4466
549,2020-07-24,Albania,Europe,4570
550,2020-07-25,Albania,Europe,4637
551,2020-07-26,Albania,Europe,4763
552,2020-07-27,Albania,Europe,4880
553,2020-07-28,Albania,Europe,4997
554,2020-07-29,Albania,Europe,5105
555,2020-07-30,Albania,Europe,5197
556,2020-07-31,Albania,Europe,5276
557,2020-08-01,Albania,Europe,5396
558,2020-08-02,Albania,Europe,5519
559,2020-08-03,Albania,Europe,5620
560,2020-08-04,Albania,Europe,5750
561,2020-08-05,Albania,Europe,5889
562,2020-08-06,Albania,Europe,6016
563,2020-08-07,Albania,Europe,6151
564,2020-08-08,Albania,Europe,6275
565,2020-08-09,Albania,Europe,6411
566,2020-08-10,Albania,Europe,6536
567,2020-08-11,Albania,Europe,6676
568,2020-08-12,Albania,Europe,6817
569,2020-08-13,Albania,Europe,6971
570,2020-08-14,Albania,Europe,7117
571,2020-08-15,Albania,Europe,7260
572,2020-08-16,Albania,Europe,7380
573,2020-08-17,Albania,Europe,7499
574,2020-08-18,Albania,Europe,7654
575,2020-08-19,Albania,Europe,7812
576,2020-08-20,Albania,Europe,7967
577,2020-08-21,Albania,Europe,8119
578,2020-08-22,Albania,Europe,8275
579,2020-08-23,Albania,Europe,8427
580,2020-08-24,Albania,Europe,8605
581,2020-08-25,Albania,Europe,8759
582,2020-08-26,Albania,Europe,8927
583,2020-08-27,Albania,Europe,9083
584,2020-08-28,Albania,Europe,9195
585,2020-08-29,Albania,Europe,9279
586,2020-08-30,Albania,Europe,9380
587,2020-08-31,Albania,Europe,9513
588,2020-09-01,Albania,Europe,9606
589,2020-09-02,Albania,Europe,9728
590,2020-09-03,Albania,Europe,9844
591,2020-09-04,Albania,Europe,9967
592,2020-09-05,Albania,Europe,10102
593,2020-09-06,Albania,Europe,10255
594,2020-09-07,Albania,Europe,10406
595,2020-09-08,Albania,Europe,10553
596,2020-09-09,Albania,Europe,10704
597,2020-09-10,Albania,Europe,10860
598,2020-09-11,Albania,Europe,11021
599,2020-09-12,Albania,Europe,11185
600,2020-09-13,Albania,Europe,11353
601,2020-09-14,Albania,Europe,11520
602,2020-09-15,Albania,Europe,11672
603,2020-09-16,Albania,Europe,11816
604,2020-09-17,Albania,Europe,11948
605,2020-09-18,Albania,Europe,12073
606,2020-09-19,Albania,Europe,12226
607,2020-09-20,Albania,Europe,12385
608,2020-09-21,Albania,Europe,12535
609,2020-09-22,Albania,Europe,12666
610,2020-09-23,Albania,Europe,12787
611,2020-09-24,Albania,Europe,12921
612,2020-09-25,Albania,Europe,13045
613,2020-09-26,Albania,Europe,13153
614,2020-09-27,Albania,Europe,13259
615,2020-09-28,Albania,Europe,13391
616,2020-09-29,Albania,Europe,13518
617,2020-09-30,Albania,Europe,13649
618,2020-10-01,Albania,Europe,13806
619,2020-10-02,Albania,Europe,13965
620,2020-10-03,Albania,Europe,14117
621,2020-10-04,Albania,Europe,14266
622,2020-10-05,Albania,Europe,14410
623,2020-10-06,Albania,Europe,14568
624,2020-10-07,Albania,Europe,14730
625,2020-10-08,Albania,Europe,14899
626,2020-10-09,Albania,Europe,15066
627,2020-10-10,Albania,Europe,15231
628,2020-10-11,Albania,Europe,15399
629,2020-10-12,Albania,Europe,15570
630,2020-10-13,Albania,Europe,15752
631,2020-10-14,Albania,Europe,15955
632,2020-10-15,Albania,Europe,16212
633,2020-10-16,Albania,Europe,16501
634,2020-10-17,Albania,Europe,16774
635,2020-10-18,Albania,Europe,17055
636,2020-10-19,Albania,Europe,17350
637,2020-10-20,Albania,Europe,17651
638,2020-10-21,Albania,Europe,17948
639,2020-10-22,Albania,Europe,18250
640,2020-10-23,Albania,Europe,18556
641,2020-10-24,Albania,Europe,18858
642,2020-10-25,Albania,Europe,19157
643,2020-10-26,Albania,Europe,19445
644,2020-10-27,Albania,Europe,19729
645,2020-10-28,Albania,Europe,20040
646,2020-10-29,Albania,Europe,20315
647,2020-10-30,Albania,Europe,20634
648,2020-10-31,Albania,Europe,20875
649,2020-11-01,Albania,Europe,21202
650,2020-11-02,Albania,Europe,21523
651,2020-11-03,Albania,Europe,21904
652,2020-11-04,Albania,Europe,22300
653,2020-11-05,Albania,Europe,22721
654,2020-11-06,Albania,Europe,23210
655,2020-11-07,Albania,Europe,23705
